Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Amanda,Lara,Nathan Villages 159,North Richardport,18391,Danmark,DK,19791218-4419,+45,298-424-6633x78878,1979-12-18,True
Charlie,Wikström,Trädgårdsvägen 957,Karlskoga,30239,Sverige,SE,19541206-8860,+46,064-53 11 79,1954-12-06,True
Vidar,Larsen,Dahlkollen 57,Paulsen,9250,Norge,NO,19771130-5541,+47,52895421,1977-11-30,True
Olof,Wilhelmsson,Villavägen 4,Jönköping,75969,Sverige,SE,19571119-6932,+46,08-40 93 97,1957-11-19,True
Juhani,Pasanen,Lukkarimäenkatu 044,Ilomantsi,26727,Finland,FI,19440224-834W,+358,+358 484325505,1944-02-24,True
Vidar,Jenssen,Martinsenberget 3,Rolfhavn,3445,Norge,NO,19920707-3701,+47,11310539,1992-07-07,True
Håvard,Simonsen,Christensenskogen 65,Myhre,3809,Norge,NO,19420517-6046,+47,79589514,1942-05-17,True
Ryan,Rowe,Michelle Valleys 499,Smithfurt,74534,Danmark,DK,19400210-0547,+45,001-203-859-3943x118,1940-02-10,True
Beatrice,Svensson,Trädgårdsgränd 265,Karlstad,25814,Sverige,SE,19451203-4084,+46,+46 (0)41 56 96 92,1945-12-03,True
Anders,Engberg,Idrottsvägen 55,Jönköping,56830,Sverige,SE,19540617-9263,+46,+46 (0)8 765 172 63,1954-06-17,True
Amanda,Ericson,Kvarntorget 6,Lidköping,95621,Sverige,SE,19580619-4665,+46,+46 (0)589 765 39,1958-06-19,True
Jeanette,Ljung,Stationstorget 5,Piteå,96727,Sverige,SE,19480120-7536,+46,08-664 40 76,1948-01-20,True
Anette,Mattsson,Järnvägsgatan 6,Västerås,81080,Sverige,SE,19710919-3607,+46,+46 (0)248 265 86,1971-09-19,True
Stian,Knutsen,Danielsenmoen 8,Martinsen,7203,Norge,NO,19750716-2029,+47,50688008,1975-07-16,True
Eila,Karhunen,Yhteiskouluntie 036,Vantaa,99023,Finland,FI,19990904-8493,+358,+358 71 9010843,1999-09-04,True
Susanne,Ali,Ängsvägen 7,Linköping,40007,Sverige,SE,19930118-2410,+46,+46 (0)41 28 54 94,1993-01-18,True
Åke,Eriksson,Skolvägen 828,Landskrona,80062,Sverige,SE,19400526-9366,+46,0949-48 52 54,1940-05-26,True
Gustav,Svensson,Idrottstorget 2,Skövde,48653,Sverige,SE,19971127-6082,+46,058-094 32 28,1997-11-27,True
Emilia,Björk,Fabriksvägen 25,Borås,71381,Sverige,SE,19920302-5141,+46,08-75 10 68,1992-03-02,True
Håvard,Lund,Danielsentoppen 33,Aasen,6446,Norge,NO,19940919-7929,+47,94 36 47 03,1994-09-19,True
Hanna,Sjögren,Ekgatan 171,Uddevalla,41556,Sverige,SE,19760716-5487,+46,+46 (0)40 91 83 38,1976-07-16,True
Alf,Ali,Johnsenstubben 30,Frodedal,8949,Norge,NO,20001019-4420,+47,96 14 09 04,2000-10-19,True
Inger,Hansson,Bäckstigen 669,Växjö,41121,Sverige,SE,19580213-8959,+46,048-507 12 31,1958-02-13,True
Patrik,Olsson,Gengatan 446,Gävle,89533,Sverige,SE,19870603-8476,+46,002-18 06 24,1987-06-03,True
Kim,Laaksonen,Neulapadonbulevardi 99,Paimio,84053,Finland,FI,19500124-166L,+358,080 966 5476,1950-01-24,True
Tove,Alm,Grangatan 73,Jönköping,98700,Sverige,SE,19620915-5467,+46,08-014 461 60,1962-09-15,True
Axel,Eriksson,Industrigatan 1,Sundsvall,30147,Sverige,SE,19420125-9593,+46,08-92 77 71,1942-01-25,True
Elizabeth,Håkansson,Parkvägen 446,Borlänge,23436,Sverige,SE,19490820-1046,+46,+46 (0)8 984 307 53,1949-08-20,True
Lene,Thomassen,Andersenfaret 7B,Evensen,2583,Norge,NO,19510120-6193,+47,+4704054971,1951-01-20,True
Emma,Eriksson,Skogsstigen 72,Eskilstuna,65303,Sverigo,SE,19430820-6454,+46,08-019 719 93,1943-08-20,True
Marie,Andersson,Ringgatan 1,Uddevalla,36670,Sverige,SE,19440719-3119,+46,0392-157 26,1944-07-19,True
Jenny,Stenberg,Villagränd 92,Gävle,20155,Sverige,SE,19810215-0509,+46,+46 (0)8 222 726 14,1981-02-15,True
Bertil,Eriksson,Furutorget 6,Borås,31753,Sverige,SE,19610518-9910,46,08-60 21 58,1961-05-18,True
Johannes,Pelkonen,Maneesikatu 206,Pyhäranta,44486,Finland,FI,19761207-301R,+358,+358197656540,1976-12-07,True
Elizabeth,Juarez,Boyer Fields 540,Wagnerport,90050,Danmark,DK,19400226-7215,+45,847.576.6713x722,1940-02-26,True
Matthew,Francis,Tyrone Ridges 9948,South Williamview,88448,Danmark,DK,19780401-1379,+45,001-633-832-3721x94943,1978-04-01,True
Lea,Helminen,Fastbölenkatu 5,Kankaanpää,43328,Finland,FI,19470514-376R,+358,+358 02 8943285,1947-05-14,True
Alicia,Rodriguez,Martin Dale 9492,North Valerie,51825,Danmark,DK,19450112-2676,+45,6698782448,1945-01-12,True
Ulla,Turunen,Usvatie 3,Orivesi,62220,Finland,FI,19990829-564J,+358,+358035746380,1999-08-29,True
Isabella,Eriksson,Kvarntorget 335,Landskrona,32445,Sverige,SE,19600523-0706,+46,0256-86 04 89,1960-05-23,True
Jan,Kristoffersen,Mathisenstranda 2C,Kristianstad,2807,Norge,NO,19910826-2513,+47,47948315,1991-08-26,True
Tristan,Johansson,Ringstigen 49,Falun,10232,Sverige,SE,19880501-1503,+46,+46 (0)25 69 16 43,1988-05-01,True
Maria,Söderholm,Kyrkotorget 60,Uppsala,50889,Sverige,SE,19480328-3909,+46,+46 (0)493 735 81,1948-03-28,True
Ellen,Malm,Fabriksgränd 5,Norrköping,69131,Sverige,SE,19660131-2472,+46,0892-907 45,1966-01-31,True
Alicia,Rose,Jean Fords 0199,North Michael,10209,Danmark,DK,19801229-5078,+45,784.335.6802,1980-12-29,True
Kalevi,Virtanen,Urheilubulevardi 25,Huittinen,57851,Finland,FI,19910226-663K,+358,089 830 6230,1991-02-26,True
David,Aguirre,Marshall Course 7313,Susanside,51016,Danmark,DK,19620119-2252,+45,202.916.3758x84513,1962-01-19,True
Marjatta,Pajunen,Kolsinkatu 6,Kontiolahti,10548,Finland,FI,19541005-034P,+358,001 952 1149,1954-10-05,True
Adrian,Ellingsen,Sørensenmarka 5D,Olavstrøm,6624,Norge,NO,19690815-0715,+47,928 06 051,1969-08-15,True
Per,Söderström,Trädgårdsstigen 2,Skellefteå,97403,Sverige,SE,19630614-7012,+46,+46 (0)72 17 00 50,1963-06-14,True
Petra,Karlsson,Grangatan 3,Borås,91710,Sverige,SE,19630814-0287,+46,08-204 82 57,1963-08-14,True
Marie,Jacobsen,Gundersenringen 18,Audhelle,8039,Norge,NO,19421102-9507,+47,91760643,1942-11-02,True
Olov,Stenlund,Åkergränd 793,Kalmar,29807,Sverige,SE,19450419-0095,+46,0272-679 23,1945-04-19,True
Susanne,Pettersson,Ängsvägen 036,Kalmar,48650,Sverige,SE,19560527-0653,+46,0922-72 31 48,1956-05-27,True
Viola,Berntsson,Idrottsvägen 576,Trollhättan,37838,Sverige,SE,19950721-5762,+46,+46 (0)62 64 87 12,1995-07-21,True
Olavi,Lahtinen,Jättiläisenkatu 02,Jämsä,14022,Finland,FI,19740114-305V,+358,+358 96 0287417,1974-01-14,True
Vilho,Korhonen,Aidasmäenkatu 70,Eckerö,79351,Finland,FI,19640317-574E,+358,+358 52 9833870,1964-03-17,True
Maria,Larsen,Idrottstorget 856,Luleå,31336,Sverige,SE,19410107-1124,+46,08-270 379 94,1941-01-07,True
Tarja,Haverinen,Urkurinpolku 8,Lohja,08168,Finland,FI,19460602-6561,+358,0242722228,1946-06-02,True
Tore,Ødegård,Antonsenhavna 45,Solheim,5011,Norge,NO,19470911-8636,+47,41268444,1947-09-11,True
Carl,Lundmark,Trädgårdsvägen 012,Sandviken,88687,Sverige,SE,19710920-1429,+46,+46 (0)49 66 04 02,1971-09-20,True
Åke,Hansson,Furugatan 6,Linköping,27145,Sverige,SE,19520104-6589,+46,090-682 90 51,1952-01-04,True
Anita,Mårtensson,Björkvägen 725,Karlskrona,72504,Sverige,SE,19700726-5936,+46,0440-17 71 21,1970-07-26,True
Ulf,Andersson,Aspvägen 7,Lund,83204,Sverige,SE,19781123-8246,+46,08-815 905 09,1978-11-23,True
Gro,Johansen,Johnsenstranda 63,Olsen,0292,Norge,NO,19620523-4836,+47,404 32 055,1962-05-23,True
Kelli,Nelson,Thornton Union 69286,Flemingfurt,07439,Danmark,DK,19550517-7922,+45,808-574-1359x67712,1955-05-17,True
Pål,Thorsen,Gundersenkroken 16,Madsen,3489,Norge,NO,19910928-0024,+47,83 29 54 99,1991-09-28,True
Marius,Pettersen,Kristensenberget 25G,Grethenes,9032,Norge,NO,19940519-5180,+47,91786851,1994-05-19,True
Tracie,Cooke,Moyer Estates 526,South Jessicatown,94103,Danmark,DK,19721207-1023,+45,4402190372,1972-12-07,True
Kaarina,Mattila,Bengalinkuja 441,Raasepori,75418,Finland,FI,19870315-7134,+358,+358319875977,1987-03-15,True
Filippa,Johansson,Skolvägen 1,Uddevalla,70152,Sverige,SE,19450826-0124,+46,+46 (0)38 64 54 64,1945-08-26,False
Maarit,Anttila,Laajasalonkuja 9,Hämeenkyrö,09060,Finland,FI,19920805-277K,+358,+358 410537710,1992-08-05,True
Stina,Svensson,Åkergatan 893,Jönköping,34406,Sverige,SE,19900628-4846,+46,052-166 11 76,1990-06-28,True
Juuso,Penttinen,Louhenkatu 56,Koski Tl,73302,Finland,FI,19571103-582E,+358,+358926059595,1957-11-03,True
Rachel,Erickson,Jill Drives 081,Robertsonberg,55696,Danmark,DK,19640303-9733,+45,943-898-9984x1825,1964-03-03,True
Robert,Clark,Ford Points 29593,North Brian,66316,Danmark,DK,19991008-3722,+45,(676)305-5254,1999-10-08,True
Julie,Lie,Tangenfaret 1B,Paulsen,8584,Norge,NO,19701213-0115,+47,62695576,1970-12-13,True
Elin,Rønning,Bergengen 95,Gulbrandsen,6451,Norge,NO,19650421-5439,+47,99363892,1965-04-21,True
Elin,Johansson,Stationsgatan 06,Halmstad,95261,Sverige,SE,19520224-1920,+46,0198-123 75,1952-02-24,True
Johannes,Strøm,Antonsenflata 07A,Olsen,0608,Norge,NO,19990817-8446,+47,+4792326367,1999-08-17,True
Meghan,Key,Jessica Inlet 44093,Austinland,69447,Danmark,DK,19551104-6768,+45,910.976.4108x138,1955-11-04,True
Dustin,Stone,Sue Brook 1031,Sotomouth,14525,Danmark,DK,19741125-8001,+45,+1-728-527-3522x4160,1974-11-25,True
Stefan,Åberg,Furugränd 662,Sundsvall,51537,Sverige,SE,19481120-8022,46,08-409 78 68,1948-11-20,True
Knut,Ødegård,Jensensvingen 5,Einarodden,7264,Norge,NO,19421221-3587,+47,68 96 54 56,1942-12-21,True
Jorunn,Bakken,Ødegårdmyra 03B,Nygård,0523,Norge,NO,19580318-8641,+47,952 83 380,1958-03-18,True
Elisabeth,Berggren,Backgränd 99,Motala,92113,Sverige,SE,20000507-7237,+46,043-976 43 85,2000-05-07,True
Jacob,Aronsson,Kvarnvägen 13,Skellefteå,77064,Sverige,SE,19670517-9727,+46,042-397 41 75,1967-05-17,True
Magnus,Eriksen,Sivertsenmyra 81,Jenssen,6569,oorge,NO,19671007-7087,+47,+47 67 86 25 48,1967-10-07,True
Øystein,Strøm,Sæthergropa 8,Bjørgberg,5500,Norge,NO,19760703-4147,+47,40890180,1976-07-03,True
Wilhelm,Ekman,Furuvägen 6,Karlstad,28794,Sverige,SE,19940328-1652,+46,014-572 50 62,1994-03-28,True
Karin,Nyman,Björkvägen 4,Skellefteå,81458,Sverige,SE,19901110-7567,+46,08-255 92 64,1990-11-10,True
Emil,Ruud,Madsentunet 4,Rønning,5109,Norge,NO,20001002-2756,+47,426 95 045,2000-10-02,True
Suzanne,Lindström,Aspvägen 86,Piteå,16465,Sverige,SE,19550105-0285,+46,+46 (0)06 28 17 01,1955-01-05,True
Fredric,Johansson,Furuvägen 178,Kristianstad,61544,Sverige,SE,19800712-9945,+46,+46 (0)40 55 99 55,1980-07-12,True
Linn,Jenssen,Sørensenringen 12F,Helgeøy,0720,Norge,NO,19980220-7588,+47,98345250,1998-02-20,True
Ingvar,Olsson,Villavägen 56,Lidköping,58320,Sverige,SE,19431201-3052,+46,+46 (0)037 166 70,1943-12-01,True
Eirik,Gundersen,Ødegårdbakken 5A,Finnodden,5559,Norge,NO,19881121-7555,+47,+47 83 62 25 37,1988-11-21,True
William,Fisher,Jessica Tunnel 3407,Joneston,43052,Danmark,DK,19610112-7437,+45,001-410-624-0743x1576,1961-01-12,True
Inger,Johansson,Stationstorget 01,Västerås,33397,Sverige,SE,19960513-5353,+46,08-338 808 87,1996-05-13,True
Karin,Engen,Eidegjerdet 5,Birkeland,7656,Norge,NO,19781129-4283,+47,52068215,1978-11-29,True
John,Sivertsen,Brekkeengen 7,Jakobsen,2390,Norge,NO,19840911-3651,+47,972 10 684,1984-09-11,True
Alexandra,Sjöberg,Skolgatan 8,Ängelholm,69326,Sverige,SE,19601105-3158,+46,005-12 29 99,1960-11-05,True
Lene,Solheim,Ellingsenmyra 4,Hannaø,1081,Norge,NO,19940427-4650,+47,+4753335026,1994-04-27,True
Marie,Lundin,Idrottsgatan 3,Göteborg,44678,Sverige,SE,19410726-2949,+46,+46 (0)13 29 63 45,1941-07-26,True
Leo,Jönsson,Järnvägsgatan 661,Kalmar,29908,Sverige,SE,19681209-0928,+46,+46 (0)8 810 030 23,1968-12-09,True
Catherine,Barrett,Donovan Court 65666,South Christopherview,01118,Danmark,DK,19820713-8741,+45,299.932.5010x600,1982-07-13,True
Lauren,Neal,Robinson Shores 856,New Annhaven,03071,Danmark,DK,19900416-0496,+45,(852)212-4980x435,1990-04-16,True
Bertil,Johansson,Parkvägen 676,Borlänge,24893,Sverige,SE,19800822-9491,+46,+46 (0)8 342 210 38,1980-08-22,True
Tore,Isaksen,Pettersenengen 2,Arneeid,4325,Norge,NO,19840216-3877,+47,41073234,1984-02-16,True
Mikael,Khan,Furugränd 6,Borås,73913,Sverige,SE,19871007-9427,+46,+46 (0)8 626 721 83,1987-10-07,True
Jacob,Nilsson,Ängsgatan 423,Lund,69755,Sverige,SE,19700624-5139,+46,+46 (0)71 09 18 89,1970-06-24,True
Andreas,Mårtensson,Bäckgatan 380,Umeå,56273,Sverige,SE,19800504-8466,+46,0334-39 09 45,1980-05-04,True
Per,Lindahl,Nygränd 390,Örebro,95405,Sverige,SE,19970113-0473,+46,+46 (0)183 035 99,1997-01-13,True
Pernilla,Johannesson,Kyrkgatan 80,Växjö,27750,Sverige,SE,19460617-5804,+46,08-73 84 77,1946-06-17,True
Jim,Karlsson,Aspstigen 134,Malmö,90534,Sverige,SE,19740402-1419,+46,+46 (0)22 39 12 23,1974-04-02,True
Ingrid,Sandberg,Stortorget 91,Lidköping,85422,Sverige,SE,19991212-1202,+46,08-989 562 91,1999-12-12,True
Anna,Ali,Furutorget 0,Skellefteå,27501,Sverige,SE,19480808-6769,+46,08-675 76 98,1948-08-08,True
Andrea,Chen,David Cliff 941,North Carriefort,83285,Danmark,DK,19481023-8318,+45,397-640-6037x8029,1948-10-23,True
Patrik,Johansson,Skogsstigen 809,Kalmar,24348,Sverige,SE,19900104-1022,+46,+46 (0)8 054 171 84,1990-01-04,True
Celine,Lindkvist,Fabriksstigen 495,Jönköping,99028,Sverige,SE,19410521-0109,+46,08-59 16 64,1941-05-21,True
Devon,Rogers,Bauer Club 93577,Lake Chadchester,40383,Danmark,DK,19451002-7793,+45,561.720.8095x45233,1945-10-02,True
Aino,Ojala,Järkälekuja 6,Sulkava,51024,Finland,FI,19970109-5055,+358,+358 39 2117418,1997-01-09,True
Bjarne,Rosengren,Trädgårdsgränd 412,Nyköping,38382,Sverige,SE,19490205-2408,+46,0880-212 87,1949-02-05,True
Bodil,Gustafsson,Furuvägen 2,Trelleborg,11059,Sverige,SE,19510715-4366,+46,+46 (0)8 733 890 39,1951-07-15,True
Nathan,Jones,Brett Points 66502,Port Theodore,78961,Danmark,DK,19510107-2414,+46,(661)935-4327,1951-01-07,True
Bertil,Svensson,Storgatan 86,Linköping,30922,Sverige,SE,19860702-0187,+46,+46 (0)42 94 32 33,1986-07-02,True
Birgitta,Ek,Storstigen 575,Sandviken,66684,Sverige,SE,19590326-6988,+46,+46 (0)8 166 782 99,1959-03-26,True
Kjell,Lien,Lieberget 2,Hanssen,4488,Norge,NO,19590910-4814,+47,980 77 084,1959-09-10,False
Henrik,Lennartsson,Furuvägen 7,Karlstad,22022,Sverige,SE,19571121-3647,+46,029-40 52 57,1957-11-21,True
Ingrid,Westman,Ringstigen 9,Nyköping,70871,Sverige,SE,19511202-2974,+46,08-069 97 99,1951-12-02,True
Danielle,Smith,Stewart Walk 595,East Sean,57498,Danmark,DK,19711008-0482,+45,740-278-0923,1971-10-08,True
Sofia,Bohman,Kvarnvägen 894,Trollhättan,62080,Sverige,SE,19590717-1007,+46,+46 (0)86 94 69 41,1959-07-17,True
Hege,Jenssen,Simonsenskrenten 65,Kristinsand,0908,Norge,NO,19460617-7410,+47,424 83 129,1946-06-17,True
Jouni,Penttilä,Betonikuja 46,Kitee,03419,Finland,FI,19431030-7221,+358,(+358) 785456858,1943-10-30,True
Donald,Solis,Adam Valley 543,South Michaeltown,18608,Danmark,DK,19410816-2274,+45,001-390-969-8406x95206,1941-08-16,True
Gerd,Hansen,Sivertsenroa 22,Ødegård,2046,Norge,NO,19631129-8570,+47,97228452,1963-11-29,True
Stefan,Hallberg,Ringgatan 81,Trelleborg,99771,Sverige,SE,19781221-8284,+46,064-33 49 86,1978-12-21,True
André,Jonsson,Stationsgatan 89,Kalmar,34353,Sverige,SE,19490525-5503,+46,0412-89 19 07,1949-05-25,True
Geoffrey,Molina,Brown Haven 6496,New Jason,46549,Danmark,DK,19870913-3213,+45,683.905.9504,1987-09-13,True
Oskar,Abrahamsson,Fabrikstorget 7,Östersund,99314,Sverige,SE,19900409-3901,+46,079-210 15 24,1990-04-09,True
Ingrid,Malmgren,Industrigatan 3,Trollhättan,53876,Sverige,SE,19760130-5611,+46,08-94 36 96,1976-01-30,True
Karl,Sjöberg,Strandvägen 4,Sundsvall,21297,Sverige,SE,19670729-5292,+46,08-496 752 51,1967-07-29,True
Geir,Evensen,Simonsenskogen 049,Steinargrunn,2451,Norge,NO,19550128-7731,+47,47225803,1955-01-28,True
Lori,Ramos,Davis Spur 082,Ginastad,09782,Danmark,DK,19480415-5002,+45,5218936495,1948-04-15,True
Kristian,Lund,Isaksenløkka 82H,Kristoffersen,5424,Norge,NO,19790911-3708,+47,431 56 290,1979-09-11,True
Caroline,Lind,Aspvägen 170,Nyköping,41831,Sverige,SE,19840214-0601,+46,08-65 61 23,1984-02-14,True
Richard,Andersson,Björkvägen 6,Mölndal,32667,Sverige,SE,19830318-2005,+46,+46 (0)8 095 075 22,1983-03-18,True
Simon,Levin,Ekgatan 08,Sandviken,27504,Sverige,SE,19431030-2956,+46,055-649 32 10,1943-10-30,True
Susanna,Räsänen,Jättiläisenpolku 409,Sotkamo,37842,Finland,FI,19450114-392R,+358,+358 16 9437104,1945-01-14,True
Arild,Johnsen,Johansenhavna 6,Rønning,9688,Norge,NO,19530920-5989,+47,90355169,1953-09-20,True
Karl,Jonsson,Aspgatan 7,Göteborg,39186,Sverige,SE,19870916-5459,+46,0697-388 31,1987-09-16,True
Sara,Hansen,Paulsenkollen 93,Sandvik,0704,Norge,NO,19940227-7155,+47,431 07 965,1994-02-27,True
Viljo,Haapanen,Uunisepänkatu 3,Ylöjärvi,59161,Finland,FI,19790830-736B,+358,040 511 2379,1979-08-30,True
